group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
timelock,power of power,1000,,,59285700.0,ns,7
timelock,power of power,1000,,,58577700.0,ns,7
timelock,power of power,1000,,,58218400.0,ns,7
timelock,power of power,1000,,,58002900.0,ns,7
timelock,power of power,1000,,,58021800.0,ns,7
timelock,power of power,1000,,,58357300.0,ns,7
timelock,power of power,1000,,,57797600.0,ns,7
timelock,power of power,1000,,,57681500.0,ns,7
timelock,power of power,1000,,,57665300.0,ns,7
timelock,power of power,1000,,,57974500.0,ns,7
timelock,power of power,1000,,,57562600.0,ns,7
timelock,power of power,1000,,,57455000.0,ns,7
timelock,power of power,1000,,,57144400.0,ns,7
timelock,power of power,1000,,,57518900.0,ns,7
timelock,power of power,1000,,,58092500.0,ns,7
timelock,power of power,1000,,,57387700.0,ns,7
timelock,power of power,1000,,,57469300.0,ns,7
timelock,power of power,1000,,,57428900.0,ns,7
timelock,power of power,1000,,,57714000.0,ns,7
timelock,power of power,1000,,,57339900.0,ns,7
timelock,power of power,1000,,,58152200.0,ns,7
timelock,power of power,1000,,,58505800.0,ns,7
timelock,power of power,1000,,,58965100.0,ns,7
timelock,power of power,1000,,,58581300.0,ns,7
timelock,power of power,1000,,,58598200.0,ns,7
timelock,power of power,1000,,,57812700.0,ns,7
timelock,power of power,1000,,,57696300.0,ns,7
timelock,power of power,1000,,,57989400.0,ns,7
timelock,power of power,1000,,,57312900.0,ns,7
timelock,power of power,1000,,,57529400.0,ns,7
timelock,power of power,1000,,,57443400.0,ns,7
timelock,power of power,1000,,,58020300.0,ns,7
timelock,power of power,1000,,,58400600.0,ns,7
timelock,power of power,1000,,,58407300.0,ns,7
timelock,power of power,1000,,,58427400.0,ns,7
timelock,power of power,1000,,,58200500.0,ns,7
timelock,power of power,1000,,,57769200.0,ns,7
timelock,power of power,1000,,,57494100.0,ns,7
timelock,power of power,1000,,,57422500.0,ns,7
timelock,power of power,1000,,,58095600.0,ns,7
timelock,power of power,1000,,,57770300.0,ns,7
timelock,power of power,1000,,,58374500.0,ns,7
timelock,power of power,1000,,,58191400.0,ns,7
timelock,power of power,1000,,,57636300.0,ns,7
timelock,power of power,1000,,,57609700.0,ns,7
timelock,power of power,1000,,,57778700.0,ns,7
timelock,power of power,1000,,,57478500.0,ns,7
timelock,power of power,1000,,,58126700.0,ns,7
timelock,power of power,1000,,,58601900.0,ns,7
timelock,power of power,1000,,,58183100.0,ns,7
timelock,power of power,1000,,,57441800.0,ns,7
timelock,power of power,1000,,,58725800.0,ns,7
timelock,power of power,1000,,,57338000.0,ns,7
timelock,power of power,1000,,,57426500.0,ns,7
timelock,power of power,1000,,,57540500.0,ns,7
timelock,power of power,1000,,,57502600.0,ns,7
timelock,power of power,1000,,,57572400.0,ns,7
timelock,power of power,1000,,,57357700.0,ns,7
timelock,power of power,1000,,,57553700.0,ns,7
timelock,power of power,1000,,,57288800.0,ns,7
timelock,power of power,1000,,,57395400.0,ns,7
timelock,power of power,1000,,,57661500.0,ns,7
timelock,power of power,1000,,,57909300.0,ns,7
timelock,power of power,1000,,,58146800.0,ns,7
timelock,power of power,1000,,,58075500.0,ns,7
timelock,power of power,1000,,,58539700.0,ns,7
timelock,power of power,1000,,,58210700.0,ns,7
timelock,power of power,1000,,,57669500.0,ns,7
timelock,power of power,1000,,,58614000.0,ns,7
timelock,power of power,1000,,,57316600.0,ns,7
timelock,power of power,1000,,,57602600.0,ns,7
timelock,power of power,1000,,,57380700.0,ns,7
timelock,power of power,1000,,,57637300.0,ns,7
timelock,power of power,1000,,,57730600.0,ns,7
timelock,power of power,1000,,,57331800.0,ns,7
timelock,power of power,1000,,,57371900.0,ns,7
timelock,power of power,1000,,,57478300.0,ns,7
timelock,power of power,1000,,,57498000.0,ns,7
timelock,power of power,1000,,,57469100.0,ns,7
timelock,power of power,1000,,,57347900.0,ns,7
timelock,power of power,1000,,,57528500.0,ns,7
timelock,power of power,1000,,,57450200.0,ns,7
timelock,power of power,1000,,,57738300.0,ns,7
timelock,power of power,1000,,,57474300.0,ns,7
timelock,power of power,1000,,,57427200.0,ns,7
timelock,power of power,1000,,,57639700.0,ns,7
timelock,power of power,1000,,,57585100.0,ns,7
timelock,power of power,1000,,,57322900.0,ns,7
timelock,power of power,1000,,,57388400.0,ns,7
timelock,power of power,1000,,,57296600.0,ns,7
timelock,power of power,1000,,,57571100.0,ns,7
timelock,power of power,1000,,,57747900.0,ns,7
timelock,power of power,1000,,,57552100.0,ns,7
timelock,power of power,1000,,,57506300.0,ns,7
timelock,power of power,1000,,,57583900.0,ns,7
timelock,power of power,1000,,,57218100.0,ns,7
timelock,power of power,1000,,,57844200.0,ns,7
timelock,power of power,1000,,,57586500.0,ns,7
timelock,power of power,1000,,,58203100.0,ns,7
timelock,power of power,1000,,,58120700.0,ns,7
