group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
timelock,power of power,100000,,,57789400.0,ns,1
timelock,power of power,100000,,,56053000.0,ns,1
timelock,power of power,100000,,,55462300.0,ns,1
timelock,power of power,100000,,,55150800.0,ns,1
timelock,power of power,100000,,,56009200.0,ns,1
timelock,power of power,100000,,,55316600.0,ns,1
timelock,power of power,100000,,,55951400.0,ns,1
timelock,power of power,100000,,,57078100.0,ns,1
timelock,power of power,100000,,,54951200.0,ns,1
timelock,power of power,100000,,,54937100.0,ns,1
timelock,power of power,100000,,,54857500.0,ns,1
timelock,power of power,100000,,,54860300.0,ns,1
timelock,power of power,100000,,,56234500.0,ns,1
timelock,power of power,100000,,,54913900.0,ns,1
timelock,power of power,100000,,,56294300.0,ns,1
timelock,power of power,100000,,,57011400.0,ns,1
timelock,power of power,100000,,,55890800.0,ns,1
timelock,power of power,100000,,,55818300.0,ns,1
timelock,power of power,100000,,,55799200.0,ns,1
timelock,power of power,100000,,,56614500.0,ns,1
timelock,power of power,100000,,,57215600.0,ns,1
timelock,power of power,100000,,,56153400.0,ns,1
timelock,power of power,100000,,,56148400.0,ns,1
timelock,power of power,100000,,,55989500.0,ns,1
timelock,power of power,100000,,,56252900.0,ns,1
timelock,power of power,100000,,,57065300.0,ns,1
timelock,power of power,100000,,,56159300.0,ns,1
timelock,power of power,100000,,,55176300.0,ns,1
timelock,power of power,100000,,,54931700.0,ns,1
timelock,power of power,100000,,,54817100.0,ns,1
timelock,power of power,100000,,,55890100.0,ns,1
timelock,power of power,100000,,,54900600.0,ns,1
timelock,power of power,100000,,,55389600.0,ns,1
timelock,power of power,100000,,,57420400.0,ns,1
timelock,power of power,100000,,,55791100.0,ns,1
timelock,power of power,100000,,,55847400.0,ns,1
timelock,power of power,100000,,,55159900.0,ns,1
timelock,power of power,100000,,,55072500.0,ns,1
timelock,power of power,100000,,,56753700.0,ns,1
timelock,power of power,100000,,,55004600.0,ns,1
timelock,power of power,100000,,,55117000.0,ns,1
timelock,power of power,100000,,,55137000.0,ns,1
timelock,power of power,100000,,,55595500.0,ns,1
timelock,power of power,100000,,,55407600.0,ns,1
timelock,power of power,100000,,,54678000.0,ns,1
timelock,power of power,100000,,,54886400.0,ns,1
timelock,power of power,100000,,,55989100.0,ns,1
timelock,power of power,100000,,,54871500.0,ns,1
timelock,power of power,100000,,,54733200.0,ns,1
timelock,power of power,100000,,,56498500.0,ns,1
timelock,power of power,100000,,,55517200.0,ns,1
timelock,power of power,100000,,,57051700.0,ns,1
timelock,power of power,100000,,,55834600.0,ns,1
timelock,power of power,100000,,,55114100.0,ns,1
timelock,power of power,100000,,,54889600.0,ns,1
timelock,power of power,100000,,,54960700.0,ns,1
timelock,power of power,100000,,,55169900.0,ns,1
timelock,power of power,100000,,,55087000.0,ns,1
timelock,power of power,100000,,,54884600.0,ns,1
timelock,power of power,100000,,,56241300.0,ns,1
timelock,power of power,100000,,,55053800.0,ns,1
timelock,power of power,100000,,,54950900.0,ns,1
timelock,power of power,100000,,,55129900.0,ns,1
timelock,power of power,100000,,,54854600.0,ns,1
timelock,power of power,100000,,,56424100.0,ns,1
timelock,power of power,100000,,,55068300.0,ns,1
timelock,power of power,100000,,,54806900.0,ns,1
timelock,power of power,100000,,,55473500.0,ns,1
timelock,power of power,100000,,,54816300.0,ns,1
timelock,power of power,100000,,,54901900.0,ns,1
timelock,power of power,100000,,,54830900.0,ns,1
timelock,power of power,100000,,,55281200.0,ns,1
timelock,power of power,100000,,,55990800.0,ns,1
timelock,power of power,100000,,,54980800.0,ns,1
timelock,power of power,100000,,,54776700.0,ns,1
timelock,power of power,100000,,,54912600.0,ns,1
timelock,power of power,100000,,,54686900.0,ns,1
timelock,power of power,100000,,,56015700.0,ns,1
timelock,power of power,100000,,,55371200.0,ns,1
timelock,power of power,100000,,,54792000.0,ns,1
timelock,power of power,100000,,,56025900.0,ns,1
timelock,power of power,100000,,,56548800.0,ns,1
timelock,power of power,100000,,,55200900.0,ns,1
timelock,power of power,100000,,,55776100.0,ns,1
timelock,power of power,100000,,,55740000.0,ns,1
timelock,power of power,100000,,,56240200.0,ns,1
timelock,power of power,100000,,,55475800.0,ns,1
timelock,power of power,100000,,,54830800.0,ns,1
timelock,power of power,100000,,,54856700.0,ns,1
timelock,power of power,100000,,,54874800.0,ns,1
timelock,power of power,100000,,,55189200.0,ns,1
timelock,power of power,100000,,,54946200.0,ns,1
timelock,power of power,100000,,,55052400.0,ns,1
timelock,power of power,100000,,,58266500.0,ns,1
timelock,power of power,100000,,,56181300.0,ns,1
timelock,power of power,100000,,,55946800.0,ns,1
timelock,power of power,100000,,,55937300.0,ns,1
timelock,power of power,100000,,,55336000.0,ns,1
timelock,power of power,100000,,,56003000.0,ns,1
timelock,power of power,100000,,,54773400.0,ns,1
