group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
timelock,square t times,2000,,,67719300.0,ns,4
timelock,square t times,2000,,,66610400.0,ns,4
timelock,square t times,2000,,,65975100.0,ns,4
timelock,square t times,2000,,,66574900.0,ns,4
timelock,square t times,2000,,,65021800.0,ns,4
timelock,square t times,2000,,,65935900.0,ns,4
timelock,square t times,2000,,,65515100.0,ns,4
timelock,square t times,2000,,,65285200.0,ns,4
timelock,square t times,2000,,,65080200.0,ns,4
timelock,square t times,2000,,,64767800.0,ns,4
timelock,square t times,2000,,,64964900.0,ns,4
timelock,square t times,2000,,,65089400.0,ns,4
timelock,square t times,2000,,,64953800.0,ns,4
timelock,square t times,2000,,,64491300.0,ns,4
timelock,square t times,2000,,,65092900.0,ns,4
timelock,square t times,2000,,,65364500.0,ns,4
timelock,square t times,2000,,,65298400.0,ns,4
timelock,square t times,2000,,,64730600.0,ns,4
timelock,square t times,2000,,,65122200.0,ns,4
timelock,square t times,2000,,,65399800.0,ns,4
timelock,square t times,2000,,,65450100.0,ns,4
timelock,square t times,2000,,,65662000.0,ns,4
timelock,square t times,2000,,,66222000.0,ns,4
timelock,square t times,2000,,,64530200.0,ns,4
timelock,square t times,2000,,,66285000.0,ns,4
timelock,square t times,2000,,,64812500.0,ns,4
timelock,square t times,2000,,,65891300.0,ns,4
timelock,square t times,2000,,,64435700.0,ns,4
timelock,square t times,2000,,,65665900.0,ns,4
timelock,square t times,2000,,,64574000.0,ns,4
timelock,square t times,2000,,,64843000.0,ns,4
timelock,square t times,2000,,,65320400.0,ns,4
timelock,square t times,2000,,,65759500.0,ns,4
timelock,square t times,2000,,,64634300.0,ns,4
timelock,square t times,2000,,,64583100.0,ns,4
timelock,square t times,2000,,,65264500.0,ns,4
timelock,square t times,2000,,,64864000.0,ns,4
timelock,square t times,2000,,,64701000.0,ns,4
timelock,square t times,2000,,,64750700.0,ns,4
timelock,square t times,2000,,,65336700.0,ns,4
timelock,square t times,2000,,,65172900.0,ns,4
timelock,square t times,2000,,,64984100.0,ns,4
timelock,square t times,2000,,,64712900.0,ns,4
timelock,square t times,2000,,,65051200.0,ns,4
timelock,square t times,2000,,,65742700.0,ns,4
timelock,square t times,2000,,,65006700.0,ns,4
timelock,square t times,2000,,,65254700.0,ns,4
timelock,square t times,2000,,,65740500.0,ns,4
timelock,square t times,2000,,,64943900.0,ns,4
timelock,square t times,2000,,,66007500.0,ns,4
timelock,square t times,2000,,,64497100.0,ns,4
timelock,square t times,2000,,,66336900.0,ns,4
timelock,square t times,2000,,,65406700.0,ns,4
timelock,square t times,2000,,,64819900.0,ns,4
timelock,square t times,2000,,,64888200.0,ns,4
timelock,square t times,2000,,,64524600.0,ns,4
timelock,square t times,2000,,,65063400.0,ns,4
timelock,square t times,2000,,,65810300.0,ns,4
timelock,square t times,2000,,,64436700.0,ns,4
timelock,square t times,2000,,,64776800.0,ns,4
timelock,square t times,2000,,,65352300.0,ns,4
timelock,square t times,2000,,,64754400.0,ns,4
timelock,square t times,2000,,,64405100.0,ns,4
timelock,square t times,2000,,,64517100.0,ns,4
timelock,square t times,2000,,,65494200.0,ns,4
timelock,square t times,2000,,,64792200.0,ns,4
timelock,square t times,2000,,,64452900.0,ns,4
timelock,square t times,2000,,,64736700.0,ns,4
timelock,square t times,2000,,,65005900.0,ns,4
timelock,square t times,2000,,,65511900.0,ns,4
timelock,square t times,2000,,,65291800.0,ns,4
timelock,square t times,2000,,,65287600.0,ns,4
timelock,square t times,2000,,,65112900.0,ns,4
timelock,square t times,2000,,,65484500.0,ns,4
timelock,square t times,2000,,,65836400.0,ns,4
timelock,square t times,2000,,,65029400.0,ns,4
timelock,square t times,2000,,,65375500.0,ns,4
timelock,square t times,2000,,,65560000.0,ns,4
timelock,square t times,2000,,,64403200.0,ns,4
timelock,square t times,2000,,,64955500.0,ns,4
timelock,square t times,2000,,,64603500.0,ns,4
timelock,square t times,2000,,,65334000.0,ns,4
timelock,square t times,2000,,,65333100.0,ns,4
timelock,square t times,2000,,,64650900.0,ns,4
timelock,square t times,2000,,,64644300.0,ns,4
timelock,square t times,2000,,,65356400.0,ns,4
timelock,square t times,2000,,,64753100.0,ns,4
timelock,square t times,2000,,,64413800.0,ns,4
timelock,square t times,2000,,,64531300.0,ns,4
timelock,square t times,2000,,,65461700.0,ns,4
timelock,square t times,2000,,,64830300.0,ns,4
timelock,square t times,2000,,,64521000.0,ns,4
timelock,square t times,2000,,,64898600.0,ns,4
timelock,square t times,2000,,,65492800.0,ns,4
timelock,square t times,2000,,,64810800.0,ns,4
timelock,square t times,2000,,,65665200.0,ns,4
timelock,square t times,2000,,,65184100.0,ns,4
timelock,square t times,2000,,,64797400.0,ns,4
timelock,square t times,2000,,,65669300.0,ns,4
timelock,square t times,2000,,,65287400.0,ns,4
