group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
timelock,square t times,20000,,,170704000.0,ns,1
timelock,square t times,20000,,,168758700.0,ns,1
timelock,square t times,20000,,,164711000.0,ns,1
timelock,square t times,20000,,,163613700.0,ns,1
timelock,square t times,20000,,,166292600.0,ns,1
timelock,square t times,20000,,,168666600.0,ns,1
timelock,square t times,20000,,,170141200.0,ns,1
timelock,square t times,20000,,,163972700.0,ns,1
timelock,square t times,20000,,,165894300.0,ns,1
timelock,square t times,20000,,,164482700.0,ns,1
timelock,square t times,20000,,,165952000.0,ns,1
timelock,square t times,20000,,,168703300.0,ns,1
timelock,square t times,20000,,,167973900.0,ns,1
timelock,square t times,20000,,,169959000.0,ns,1
timelock,square t times,20000,,,164355100.0,ns,1
timelock,square t times,20000,,,164286500.0,ns,1
timelock,square t times,20000,,,168314100.0,ns,1
timelock,square t times,20000,,,168651800.0,ns,1
timelock,square t times,20000,,,167135100.0,ns,1
timelock,square t times,20000,,,163915900.0,ns,1
timelock,square t times,20000,,,163242200.0,ns,1
timelock,square t times,20000,,,163008900.0,ns,1
timelock,square t times,20000,,,163032200.0,ns,1
timelock,square t times,20000,,,169228500.0,ns,1
timelock,square t times,20000,,,168665000.0,ns,1
timelock,square t times,20000,,,167910200.0,ns,1
timelock,square t times,20000,,,167106800.0,ns,1
timelock,square t times,20000,,,166677200.0,ns,1
timelock,square t times,20000,,,164468800.0,ns,1
timelock,square t times,20000,,,164870200.0,ns,1
timelock,square t times,20000,,,165541600.0,ns,1
timelock,square t times,20000,,,166773100.0,ns,1
timelock,square t times,20000,,,169535100.0,ns,1
timelock,square t times,20000,,,169488800.0,ns,1
timelock,square t times,20000,,,167790900.0,ns,1
timelock,square t times,20000,,,162110900.0,ns,1
timelock,square t times,20000,,,166849500.0,ns,1
timelock,square t times,20000,,,168935800.0,ns,1
timelock,square t times,20000,,,166111200.0,ns,1
timelock,square t times,20000,,,175210500.0,ns,1
timelock,square t times,20000,,,169255400.0,ns,1
timelock,square t times,20000,,,164528500.0,ns,1
timelock,square t times,20000,,,166513500.0,ns,1
timelock,square t times,20000,,,165373500.0,ns,1
timelock,square t times,20000,,,162774900.0,ns,1
timelock,square t times,20000,,,165013200.0,ns,1
timelock,square t times,20000,,,165672700.0,ns,1
timelock,square t times,20000,,,167799700.0,ns,1
timelock,square t times,20000,,,164160500.0,ns,1
timelock,square t times,20000,,,164522200.0,ns,1
timelock,square t times,20000,,,162614400.0,ns,1
timelock,square t times,20000,,,162332200.0,ns,1
timelock,square t times,20000,,,165930700.0,ns,1
timelock,square t times,20000,,,168624100.0,ns,1
timelock,square t times,20000,,,163748000.0,ns,1
timelock,square t times,20000,,,173778500.0,ns,1
timelock,square t times,20000,,,168661100.0,ns,1
timelock,square t times,20000,,,168294500.0,ns,1
timelock,square t times,20000,,,167172700.0,ns,1
timelock,square t times,20000,,,163963300.0,ns,1
timelock,square t times,20000,,,161742000.0,ns,1
timelock,square t times,20000,,,164086400.0,ns,1
timelock,square t times,20000,,,165011000.0,ns,1
timelock,square t times,20000,,,163797400.0,ns,1
timelock,square t times,20000,,,163894500.0,ns,1
timelock,square t times,20000,,,161987200.0,ns,1
timelock,square t times,20000,,,165238100.0,ns,1
timelock,square t times,20000,,,162147100.0,ns,1
timelock,square t times,20000,,,167509700.0,ns,1
timelock,square t times,20000,,,167390900.0,ns,1
timelock,square t times,20000,,,167020000.0,ns,1
timelock,square t times,20000,,,162816600.0,ns,1
timelock,square t times,20000,,,161404200.0,ns,1
timelock,square t times,20000,,,163055700.0,ns,1
timelock,square t times,20000,,,163012600.0,ns,1
timelock,square t times,20000,,,161253800.0,ns,1
timelock,square t times,20000,,,162323600.0,ns,1
timelock,square t times,20000,,,163289300.0,ns,1
timelock,square t times,20000,,,161386600.0,ns,1
timelock,square t times,20000,,,161489100.0,ns,1
timelock,square t times,20000,,,161903400.0,ns,1
timelock,square t times,20000,,,162879700.0,ns,1
timelock,square t times,20000,,,162582200.0,ns,1
timelock,square t times,20000,,,161316700.0,ns,1
timelock,square t times,20000,,,163712500.0,ns,1
timelock,square t times,20000,,,167920900.0,ns,1
timelock,square t times,20000,,,166410500.0,ns,1
timelock,square t times,20000,,,163882100.0,ns,1
timelock,square t times,20000,,,161485700.0,ns,1
timelock,square t times,20000,,,161877200.0,ns,1
timelock,square t times,20000,,,163094400.0,ns,1
timelock,square t times,20000,,,165293000.0,ns,1
timelock,square t times,20000,,,162615300.0,ns,1
timelock,square t times,20000,,,162635400.0,ns,1
timelock,square t times,20000,,,162930500.0,ns,1
timelock,square t times,20000,,,162153800.0,ns,1
timelock,square t times,20000,,,162117700.0,ns,1
timelock,square t times,20000,,,162820800.0,ns,1
timelock,square t times,20000,,,163089100.0,ns,1
timelock,square t times,20000,,,162441600.0,ns,1
